sourcename, date
g124p015,  59879.417604166665
g12p203,  59866.6665625
g12p209,  59866.67586805556
g12p681,  59866.68517361111
g12p681,  59879.6809375
g12p776,  59860.70210648148
g12p776,  59879.68412037037
g12p89,  59854.641238425924
g12p89,  59862.64418981481
g12p89,  59866.688310185185
g12p89,  59869.606516203705
g12p89,  59879.6709837963
g137p068,  59863.357141203705
g137p068,  59870.376967592594
g137p068,  59879.407488425924
g13p179,  59860.71163194445
g13p696,  59853.68996527778
g13p696,  59853.68996527778
g13p696,  59869.611493055556
g149p076,  59863.34657407407
g149p076,  59870.36547453704
g149p076,  59879.39724537037
g149p076,  59863.34657407407
g14p230,  59856.68859953704
g14p33,  59853.70060185185
g14p33,  59853.70060185185
g14p33,  59869.620844907404
g14p457,  59864.629270833335
g14p490,  59866.693240740744
g14p521,  59863.687951388885
g15p034,  59856.698125
g15p607,  59859.69960648148
g16p112,  59858.707037037035
g16p403,  59856.70327546296
g16p662,  59859.71740740741
g16p855,  59856.712800925925
g16p976,  59858.69631944445
g174p201,  59860.23892361111
g174p201,  59870.3440625
g174p201,  59879.34085648148
g17p029,  59859.72770833333
g17p862,  59853.66148148148
g17p862,  59869.6303125
g183p34,  59856.33645833333
g183p34,  59863.32005787037
g183p34,  59870.333078703705
g183p34,  59880.323645833334
g189p03,  59856.32077546296
g189p03,  59863.29454861111
g189p03,  59870.32283564815
g189p03,  59880.31141203704
g18p440,  59853.67222222222
g18p440,  59869.65895833333
g18p661,  59853.63884259259
g18p661,  59869.64907407408
g18p733,  59853.71303240741
g18p733,  59869.63972222222
g18p999,  59853.61971064815
g18p999,  59869.67244212963
g192p60,  59856.2993287037
g192p60,  59863.286840277775
g192p60,  59870.29628472222
g192p60,  59880.297743055555
g196p45,  59856.28792824074
g196p45,  59863.276342592595
g196p45,  59870.286516203705
g196p45,  59880.28784722222
g19p472,  59853.73511574074
g19p472,  59870.66585648148
g19p609,  59858.68537037037
g19p667,  59853.74496527778
g19p667,  59854.63082175926
g19p755,  59856.72232638889
g19p755,  59879.70315972222
g19p884,  59853.75481481481
g19p884,  59869.68174768519
g19r612,  59853.724583333336
g19r612,  59879.71251157407
g206p54,  59856.27596064815
g206p54,  59863.264236111114
g206p54,  59876.21474537037
g206p54,  59884.03622685185
g208p99,  59867.150868055556
g208p99,  59876.19472222222
g208p99,  59884.04607638889
g20p081,  59855.70501157407
g20p081,  59862.600810185184
g20p237,  59853.60873842592
g20p237,  59863.69747685185
g20p733,  59854.620520833334
g20p733,  59862.590844907405
g20p963,  59853.782800925925
g20p963,  59883.59059027778
g213p705,  59864.26224537037
g213p705,  59876.208553240744
g213p705,  59884.055925925924
g21p023,  59853.792766203704
g21p848,  59853.80273148148
g21p848,  59862.580879629626
g22p356,  59856.741377314815
g22p356,  59879.72206018519
g232p6,  59860.22835648148
g232p6,  59876.18467592593
g23p003,  59855.715532407405
g23p003,  59884.70484953704
g23p126,  59855.73758101852
g23p126,  59884.51825231482
g23p207,  59855.72628472222
g23p207,  59879.73180555556
g23p365,  59855.7484837963
g23p365,  59884.694652777776
g23p389,  59855.76875
g23p389,  59884.508518518516
g23p440,  59855.75877314815
g23p440,  59884.68383101852
g23p657,  59855.778761574074
g23p657,  59884.52798611111
g23p82,  59859.76600694445
g23p885,  59862.65158564815
g23p901,  59861.612592592595
g23p986,  59861.62274305556
g23p996,  59859.74008101852
g24p148,  59856.78962962963
g24p148,  59884.71607638889
g24p329,  59857.64215277778
g24p329,  59862.662141203706
g24p329,  59869.69123842593
g24p329,  59879.74076388889
g24p329,  59884.72725694445
g24p461,  59859.7755787037
g24p461,  59879.75011574074
g24p541,  59859.78554398148
g24p541,  59861.60120370371
g24p541,  59863.70700231481
g24p541,  59883.580659722225
g24p631,  59862.682662037034
g24p635,  59862.67188657408
g24p676,  59854.60907407408
g24p676,  59880.63759259259
g24p791,  59862.69359953704
g24p850,  59862.704050925924
g24p943,  59854.59916666667
g24p943,  59884.73773148148
g25p226,  59854.5890162037
g25p226,  59884.747777777775
g25p270,  59862.7146875
g25p407,  59857.6515625
g25p411,  59862.72618055555
g25p494,  59862.76298611111
g25p613,  59862.74134259259
g25p65,  59858.6700462963
g25p65,  59864.78512731481
g25p65,  59873.59108796297
g25p65,  59882.530636574076
g25p710,  59862.737337962964
g25p710,  59869.70410879629
g25p838,  59862.75200231482
